contig_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0.concoct_part_0,-4.49040048e-01,3.87297204e-01,3.18569944e-01,-5.23260689e-03,-3.88492418e-01,-5.67929186e-01,1.42009677e-01,1.69805309e-02,-1.19045814e+00,9.68051691e-01,3.69765860e-01,1.15871814e-01,5.77563551e-01,8.90019939e-01,-9.57849820e-01,-4.30511681e-01,1.26668647e+00,-1.30165559e+00,6.65594451e-01,6.80828512e-02,2.29247188e-01,-4.69141206e-01,-3.72088560e-01,-4.18918014e-01,-5.59586794e-01,-5.01644171e-01,-5.67114265e-01,-5.15136884e-01,4.05241309e-01,-8.42424258e-01,-8.25406047e-02,7.44642593e-01,-1.27199654e-01,2.92517934e-01,-4.87802730e-01,-5.52409346e-01,-1.35406661e-01,1.70497500e-01,2.41707406e-01,-1.13000799e-02,-5.58234447e-01,-1.71035089e-01,5.76938777e-01,7.18961029e-01,-1.71934909e-01,1.74385764e-01,4.25364812e-01,-3.63228184e-01,8.23525576e-02
1.concoct_part_0,-3.26067564e-02,-1.93230399e+00,-1.70403128e+00,4.79254827e-01,3.11018238e-01,7.88879020e-01,-4.15248037e-01,2.52011107e-01,-1.08573392e+00,9.84019213e-01,1.54886945e-01,1.26138224e-01,-5.08718365e-01,3.60580911e-01,1.03767906e+00,-5.34570686e-01,-9.02082045e-02,1.00917144e+00,2.25344727e-01,3.58622041e-01,-2.98908554e-01,1.84274183e-01,-2.10896370e-01,8.05732982e-01,-1.26457727e-01,-1.82684609e-01,2.80829143e-02,8.93192427e-01,-1.48601319e-01,2.01914468e-01,4.98906255e-01,2.77663459e-01,2.31917497e-01,-8.29804974e-02,9.64629294e-01,4.18574418e-02,-2.71238089e-02,-4.38046081e-01,-2.37414616e-01,-1.48219468e-02,-2.17723947e-01,7.30434859e-02,8.74128091e-02,1.21155873e-01,-2.71140208e-01,-2.38250127e-01,2.97997534e-01,-5.14614271e-01,-2.75830586e-02
2.concoct_part_0,-2.13543792e+00,5.35591860e-01,-6.87513262e-01,2.65185797e+00,-1.80127353e-01,-4.44033062e-01,3.57030307e-01,7.31105242e-01,-1.01027841e-01,-2.70042710e-01,8.16000567e-01,-5.03984778e-01,-4.49275171e-01,-5.85776565e-01,7.60731918e-01,9.77872004e-01,-8.06004571e-01,-2.81981488e-01,6.26400292e-01,-7.37336460e-02,6.84181281e-01,5.76937201e-02,1.69357254e-01,1.30723854e-02,1.05012744e-01,3.14235323e-01,2.42483628e-02,-3.64788705e-02,-1.93182799e-01,5.97306633e-01,8.87911574e-01,-5.58046229e-01,-4.52103194e-01,-6.90649428e-01,3.04112594e-01,-1.17156659e-01,-2.37441868e-01,-3.42881971e-01,6.73775493e-02,-6.32970708e-02,-5.87390557e-01,9.65780063e-01,1.21650913e-01,-2.62696870e-01,-7.48171953e-02,1.01050908e-01,-7.64781557e-02,1.60552706e-01,2.66105749e-01
3.concoct_part_0,-8.82487544e+00,-2.89120733e+00,4.21553434e+00,8.85292608e-01,4.02532511e+00,1.95963934e+00,3.03007640e+00,-1.28383418e+00,5.71627279e-02,-3.83225184e-01,-1.38375815e-02,2.09361581e+00,-1.17608435e+00,-6.39368260e-01,-7.48993771e-01,-5.93242092e-01,-4.19329892e-02,-8.76902453e-01,-4.26230680e-01,8.39098669e-01,2.35085918e-01,7.78837740e-01,-2.32419742e-01,-5.42462142e-01,2.26496043e-01,7.11097565e-01,-9.23004366e-01,-4.60148107e-01,-2.26115165e-01,-5.43272647e-01,9.81383841e-01,-3.17295607e-02,4.25888945e-01,1.55727945e-01,-1.80678318e-01,4.08682126e-01,-3.85020830e-01,-6.53557171e-01,4.23120987e-01,-1.79925220e-01,6.84286188e-01,1.66483907e-01,-3.66325655e-01,5.71536006e-01,9.30219050e-02,8.42326805e-01,6.36000471e-01,3.34453937e-01,5.80438024e-02
4.concoct_part_0,-4.43771263e+00,-2.22359508e+00,4.14591315e-01,5.13585766e-01,3.17298578e-01,-7.22126464e-01,5.23139533e-01,-2.94497707e-01,-8.56722125e-01,2.57818184e-01,-2.27088347e-01,6.57292664e-01,6.95565008e-01,-3.39834003e-03,4.31695230e-01,-7.46579874e-01,-1.13078757e-01,3.15479209e-01,-1.71273196e+00,2.92090143e-01,-2.33884745e-01,1.21043856e-01,-3.34524909e-01,6.73080579e-01,1.38343681e-01,-6.60922182e-01,1.85872238e-01,-9.02014770e-02,-2.79955767e-01,-5.29519614e-01,-1.67392664e-01,1.57521341e-01,4.09606042e-01,1.08164081e+00,-1.64041733e-01,4.94023839e-01,8.64415399e-01,1.12611905e+00,3.09450637e-01,-8.63266481e-02,-1.71539182e-02,2.90930974e-01,8.03149993e-01,-3.31764335e-01,-2.97448448e-01,1.03391844e-01,8.89995317e-02,1.24366994e-01,-1.66012467e-01
5.concoct_part_0,-4.35025109e+00,-2.42867877e+00,6.83650284e-01,-6.56629857e-01,-5.46536725e-01,-4.93473586e-02,1.41786761e+00,4.51943246e-01,-4.72085981e-01,-3.21306828e-01,-9.43879599e-01,-6.15072030e-01,1.72200747e+00,-2.06490396e-01,-1.81750236e+00,-3.99974388e-02,-9.86887694e-01,5.66187573e-02,1.86130368e+00,5.41032866e-01,-1.88006766e+00,4.03835199e-01,6.27414043e-01,-5.92612430e-03,-8.49555254e-02,1.16922432e+00,5.16335928e-01,-1.34291478e+00,2.14356799e-01,6.36515064e-01,-9.04022078e-02,5.86488047e-01,4.68219085e-02,9.82530574e-01,9.90138821e-01,-5.12252024e-01,1.17287393e-01,9.33740545e-02,-3.34251515e-01,-6.10728300e-01,-5.11441747e-01,8.48721962e-02,9.23989807e-02,6.45641219e-02,-5.50583192e-01,-2.53001886e-02,1.44889484e-01,4.50323789e-01,-1.93890044e-01
6.concoct_part_0,-4.50814623e+00,-3.09387429e+00,-8.01253850e-01,-8.86854217e-01,5.96512694e-02,2.28397807e-01,1.20934309e+00,6.22384832e-01,-1.19966737e+00,1.37633966e-01,4.91507761e-01,-9.79304004e-01,-3.25084365e-01,3.79536714e-01,-6.79048602e-02,3.51257786e-01,6.20288430e-01,1.04979972e+00,1.71274584e-01,-3.85622071e-01,-5.11008128e-02,2.78325166e-01,-1.03352574e+00,4.64620822e-01,-4.60263208e-01,8.87917485e-01,3.71434115e-01,1.96754524e-01,-3.93777568e-01,-1.83472394e-01,4.22210237e-03,-4.38367860e-01,-6.43498761e-01,-2.24072830e-01,2.81147070e-01,-1.91328189e-01,5.80092373e-02,-1.25314102e-01,-2.83434513e-01,1.74066102e-01,4.36706361e-01,3.31799605e-01,2.69334803e-01,4.66998940e-01,-1.76630418e-01,1.70674283e-01,1.31176055e-01,3.62098407e-01,-2.99198567e-01
7.concoct_part_0,-3.01846967e+00,2.51484388e+00,8.31967218e-01,2.38964411e-01,1.40650063e+00,-1.04181860e+00,-5.30406629e-01,-6.50004055e-01,2.19572959e+00,-4.88855983e-01,1.41277011e+00,5.97215596e-01,8.93963330e-01,4.64809744e-01,-4.59654510e-01,8.24965921e-01,1.22228226e+00,1.00161644e+00,-1.57104707e+00,4.30936757e-01,2.68998776e-02,1.06548025e-01,7.46505771e-01,-5.24809737e-01,7.10079473e-01,-8.90923550e-01,5.29249439e-01,2.07395220e-01,-5.91456720e-01,6.78470212e-01,-1.66319808e-01,-5.15349903e-01,5.04666098e-01,-2.34851887e-01,5.29600534e-01,-6.17762247e-01,1.36571825e-01,7.38176479e-02,4.41918537e-01,-3.87566361e-03,7.44678177e-01,9.98789471e-01,-9.54065805e-01,2.58918520e-01,-4.99304057e-01,-5.25669650e-02,-9.53483809e-02,-2.29056245e-01,1.61507237e+00
8.concoct_part_0,-7.55473825e-01,7.72481487e-01,4.43818048e-01,6.27319078e-01,-1.83756542e+00,-8.64750608e-01,-6.08564201e-01,-1.68137569e-01,-1.41048288e+00,2.61617112e-01,2.12453542e-01,-5.92206388e-01,-9.45790148e-01,-5.23029720e-01,5.46263465e-02,2.43154421e-01,8.58497648e-01,1.37972518e-02,-3.46303904e-01,4.60879686e-01,6.31057521e-01,-8.87815074e-01,-7.87374688e-01,2.70327771e-02,1.65814649e-01,1.57108233e-01,6.79923494e-01,-1.26694835e-01,-4.21743069e-01,-4.34546023e-01,-5.26962072e-02,-3.13150520e-01,2.05459489e-01,-2.78367102e-02,-3.71169790e-01,3.60999769e-01,1.85789344e-01,1.07859045e-01,8.59827378e-02,-7.11056081e-01,5.42190523e-01,3.53574588e-01,8.59431508e-02,-3.43574956e-01,6.38253067e-02,1.71219158e-01,-8.22739763e-01,-3.22529520e-01,6.03086158e-01
9.concoct_part_0,5.54406505e+00,2.35711644e+00,-4.14343636e-01,7.87529996e-01,8.16882684e-02,-5.78102517e-01,-1.08109153e+00,5.16609373e-01,-7.66421977e-01,-5.11803728e-01,-8.99326290e-01,1.97059276e-02,-2.83775336e-01,-2.51413927e-01,-4.61936598e-02,7.31616846e-01,8.16974275e-02,2.83151395e-01,-5.38212044e-01,2.53498255e-01,2.06371027e-01,3.11050056e-02,-3.14378715e-01,6.17861543e-01,8.38362439e-02,1.14444303e+00,1.69253226e-01,-4.74654637e-01,5.56356920e-01,-1.19630119e-01,-7.02113670e-02,-2.08176958e-01,-2.48104005e-01,2.38415658e-03,-4.91537083e-01,2.35552334e-02,-8.06358873e-03,-7.11005174e-01,1.51118508e-01,-1.56668936e-01,1.22886151e-01,1.06030038e-01,1.40931139e-01,-6.41427564e-01,-6.27988150e-03,1.29051111e-01,-6.61876102e-02,-1.15129951e-02,-1.67363853e-01
10.concoct_part_0,2.06762696e+00,-3.05057947e+00,-4.50699822e-01,8.87975623e-01,8.41147193e-01,3.71484800e-01,-4.59457728e-01,-8.86485367e-01,-1.14481401e+00,-5.08828179e-01,-1.37573762e-01,3.87226006e-01,-1.39366791e+00,1.27024448e-01,-1.19831848e-01,2.66263347e-01,1.04934998e-01,-4.46936340e-01,1.15943239e-01,-1.58742629e-01,9.23136406e-01,-6.27173880e-01,1.01116815e-01,3.05284018e-01,5.91738666e-01,-2.21451541e-01,-5.08757889e-01,-2.43340622e-01,-8.80680875e-02,-6.18942431e-01,-7.80384436e-01,-7.68118618e-02,4.11232963e-01,4.64476038e-01,4.29401375e-01,-4.13005337e-01,-5.65356217e-01,1.96415237e-01,-3.65296213e-01,-8.02023450e-01,-5.00874842e-01,-5.15541445e-01,3.95078560e-01,1.74127981e-01,2.80703825e-01,-4.13579594e-01,-6.16720161e-01,1.51418457e-01,9.70445787e-02
11.concoct_part_0,-4.09198759e+00,1.69656282e+00,8.94099869e-02,-2.28381593e+00,9.30309382e-01,5.90617475e-01,-8.53995912e-02,-2.75548489e-01,-3.96249053e-01,-3.09190947e-01,-2.02227033e-01,-4.77249064e-01,4.11686274e-01,4.75347985e-01,3.99435988e-01,-2.40216670e-01,-1.32729089e+00,6.69788106e-01,3.04366412e-03,-1.71952938e-01,3.36529803e-01,6.27971882e-01,-8.20639065e-02,-1.53996020e-01,1.16708911e-01,-1.65501571e-01,1.99965497e-01,-1.38762552e+00,3.63492249e-01,8.01297641e-01,2.76703427e-01,-5.91150362e-01,2.95973244e-01,-3.28665688e-02,2.82990713e-01,-2.74492137e-01,3.61314316e-01,2.85614256e-01,-3.73848856e-01,2.21281369e-01,-7.64749595e-02,2.87390065e-01,4.39235741e-01,5.28790504e-01,1.83550607e-01,-4.40741683e-01,-2.06122993e-01,4.51000671e-01,4.47562425e-01
12.concoct_part_0,1.24584663e+00,3.62662294e+00,-6.63694463e-01,4.32880358e+00,-1.99667064e-02,1.21578624e+00,-1.41607623e+00,2.99172133e-01,-1.03164413e+00,-2.47728425e-01,-2.56015269e-01,1.16101433e+00,1.39200398e+00,-6.97933485e-01,-7.54017901e-01,2.98670876e-01,-1.38498959e-02,9.63404950e-01,-8.13575347e-01,-1.57989613e-01,-7.53872050e-01,-1.01215304e+00,-2.06152358e-01,-8.18785791e-02,4.09272889e-01,-4.71014609e-02,-9.89220823e-02,-6.37338325e-01,-1.19675175e-01,-3.88911354e-01,1.11706054e+00,-3.83351961e-01,3.14866908e-01,2.74491397e-01,-3.83224005e-01,4.27403323e-02,5.16438408e-01,-4.17561307e-02,1.82710876e-01,3.58178869e-01,5.68620266e-01,1.14322240e+00,-1.89132854e-02,-6.59660223e-01,-1.10986822e-01,-1.11306218e-01,-1.06179336e-01,9.10805132e-03,1.36896826e-01
12.concoct_part_1,1.68344072e+00,3.44183384e+00,-8.54776952e-01,4.19460719e+00,-3.41278540e-01,8.29888691e-01,-1.57195224e+00,7.42522209e-01,-1.21784199e+00,-6.24023955e-01,-8.39472072e-01,1.10448497e+00,1.67062928e+00,-7.22409482e-01,-6.04412097e-01,1.03179439e-02,-1.95711954e-01,1.47518268e+00,-1.07006106e+00,-1.87012424e-01,-6.44872612e-01,-7.78825628e-01,3.30661617e-01,-1.04919478e-01,1.14729517e-01,3.85195972e-01,-8.57443772e-02,-1.01384874e+00,-3.51164716e-01,-1.93664845e-02,8.90667683e-01,-1.05042812e-01,3.13100943e-01,1.48735667e-01,-4.58056912e-02,-1.60788221e-01,4.34307349e-01,1.34113331e-02,4.07970580e-01,3.43288326e-01,4.87823086e-01,1.19388099e+00,-8.69260445e-02,-8.19849125e-01,-6.09780093e-02,2.31711777e-01,1.86631070e-02,3.16573279e-01,1.41946089e-02
13.concoct_part_0,5.06587205e+00,1.07325421e+00,-8.28181979e-01,-1.48794801e+00,-8.78628101e-01,9.83597528e-02,3.28606701e-01,1.43561082e+00,4.39120467e-01,3.37470333e-01,1.33961739e+00,-1.66676808e-01,2.37546843e-01,1.86924995e+00,-3.64866483e-01,-8.74477945e-03,-1.85429495e-02,-3.00799279e-01,-2.76018839e-01,-8.65530175e-01,3.08051174e-01,-6.89767912e-01,-1.39461501e-01,-8.58815790e-01,4.30747471e-01,4.09412186e-01,3.11428673e-01,-1.21143876e+00,2.06507843e-03,2.64638695e-01,-2.56787360e-01,-2.62462379e-01,2.04955288e-02,8.35737190e-01,-7.81944011e-01,-7.84857661e-01,7.61212612e-01,-4.34041508e-01,-4.83766577e-01,1.98068913e-01,2.68653809e-01,-2.99393965e-01,5.50050087e-01,7.10494387e-02,-5.10878201e-01,-6.49093701e-02,-5.04791620e-01,2.94176611e-01,-4.01815921e-01
