contig_id,cluster_id
255.concoct_part_0,9
256.concoct_part_0,9
257.concoct_part_0,1
258.concoct_part_0,1
259.concoct_part_0,4
260.concoct_part_0,9
261.concoct_part_0,1
262.concoct_part_0,1
263.concoct_part_0,1
264.concoct_part_0,1
265.concoct_part_0,1
266.concoct_part_0,9
267.concoct_part_0,4
268.concoct_part_0,1
269.concoct_part_0,1
270.concoct_part_0,2
271.concoct_part_0,1
272.concoct_part_0,1
273.concoct_part_0,1
274.concoct_part_0,1
275.concoct_part_0,7
276.concoct_part_0,1
277.concoct_part_0,7
278.concoct_part_0,7
279.concoct_part_0,1
280.concoct_part_0,1
281.concoct_part_0,9
282.concoct_part_0,9
283.concoct_part_0,1
284.concoct_part_0,9
285.concoct_part_0,7
286.concoct_part_0,9
287.concoct_part_0,1
288.concoct_part_0,1
289.concoct_part_0,9
290.concoct_part_0,1
291.concoct_part_0,6
292.concoct_part_0,9
293.concoct_part_0,7
294.concoct_part_0,1
295.concoct_part_0,6
296.concoct_part_0,1
297.concoct_part_0,1
298.concoct_part_0,9
299.concoct_part_0,1
300.concoct_part_0,1
301.concoct_part_0,1
302.concoct_part_0,9
303.concoct_part_0,7
304.concoct_part_0,1
305.concoct_part_0,7
306.concoct_part_0,1
307.concoct_part_0,9
308.concoct_part_0,1
309.concoct_part_0,4
310.concoct_part_0,1
311.concoct_part_0,7
312.concoct_part_0,1
313.concoct_part_0,1
314.concoct_part_0,1
315.concoct_part_0,4
316.concoct_part_0,1
317.concoct_part_0,1
318.concoct_part_0,9
319.concoct_part_0,9
320.concoct_part_0,4
321.concoct_part_0,1
322.concoct_part_0,9
323.concoct_part_0,1
324.concoct_part_0,4
325.concoct_part_0,1
326.concoct_part_0,9
327.concoct_part_0,1
328.concoct_part_0,1
329.concoct_part_0,9
330.concoct_part_0,1
331.concoct_part_0,1
332.concoct_part_0,7
333.concoct_part_0,9
334.concoct_part_0,1
335.concoct_part_0,1
336.concoct_part_0,1
337.concoct_part_0,7
338.concoct_part_0,9
339.concoct_part_0,1
340.concoct_part_0,1
341.concoct_part_0,7
342.concoct_part_0,9
343.concoct_part_0,9
344.concoct_part_0,9
345.concoct_part_0,1
346.concoct_part_0,9
347.concoct_part_0,1
348.concoct_part_0,1
349.concoct_part_0,1
350.concoct_part_0,9
351.concoct_part_0,4
351.concoct_part_1,4
351.concoct_part_2,4
352.concoct_part_0,1
353.concoct_part_0,1
354.concoct_part_0,4
355.concoct_part_0,1
356.concoct_part_0,4
357.concoct_part_0,9
358.concoct_part_0,1
359.concoct_part_0,1
360.concoct_part_0,9
361.concoct_part_0,9
362.concoct_part_0,1
363.concoct_part_0,1
364.concoct_part_0,1
365.concoct_part_0,1
366.concoct_part_0,1
367.concoct_part_0,1
368.concoct_part_0,1
368.concoct_part_1,1
369.concoct_part_0,9
370.concoct_part_0,4
371.concoct_part_0,1
372.concoct_part_0,1
373.concoct_part_0,1
374.concoct_part_0,9
375.concoct_part_0,1
376.concoct_part_0,1
377.concoct_part_0,1
378.concoct_part_0,1
379.concoct_part_0,14
380.concoct_part_0,1
381.concoct_part_0,1
382.concoct_part_0,1
383.concoct_part_0,1
384.concoct_part_0,1
385.concoct_part_0,1
386.concoct_part_0,9
387.concoct_part_0,9
388.concoct_part_0,1
389.concoct_part_0,6
390.concoct_part_0,1
391.concoct_part_0,7
392.concoct_part_0,1
393.concoct_part_0,1
394.concoct_part_0,1
395.concoct_part_0,1
396.concoct_part_0,1
397.concoct_part_0,6
398.concoct_part_0,1
399.concoct_part_0,1
400.concoct_part_0,9
401.concoct_part_0,1
