clade_name	NCBI_tax_id	SRR5665187_mtphln2	SRR5665186_mtphln2	SRR5665185_mtphln2	SRR5665184_mtphln2	SRR5665183_mtphln2	SRR5665182_mtphln2	SRR5665181_mtphln2	SRR5665180_mtphln2	SRR5665179_mtphln2	SRR5665178_mtphln2	SRR5665164_mtphln2	SRR5665163_mtphln2	SRR5665162_mtphln2	SRR5665161_mtphln2	SRR5665160_mtphln2	SRR5665159_mtphln2	SRR5665158_mtphln2	SRR5665157_mtphln2	SRR5665156_mtphln2	SRR5665155_mtphln2	SRR5665144_mtphln2	SRR5665143_mtphln2	SRR5665142_mtphln2	SRR5665141_mtphln2	SRR5665140_mtphln2	SRR5665139_mtphln2	SRR5665138_mtphln2	SRR5665137_mtphln2	SRR5665136_mtphln2	SRR5665135_mtphln2	SRR5665134_mtphln2	SRR5665123_mtphln2	SRR5665122_mtphln2	SRR5665121_mtphln2	SRR5665120_mtphln2	SRR5665119_mtphln2	SRR5665118_mtphln2	SRR5665117_mtphln2	SRR5665116_mtphln2	SRR5665115_mtphln2	SRR5665114_mtphln2	SRR5665103_mtphln2	SRR5665081_mtphln2	SRR5665080_mtphln2	SRR5665079_mtphln2	SRR5665078_mtphln2	SRR5665077_mtphln2	SRR5665076_mtphln2	SRR5665075_mtphln2	SRR5665074_mtphln2	SRR5665073_mtphln2	SRR5665072_mtphln2	SRR5665061_mtphln2	SRR5665060_mtphln2	SRR5665059_mtphln2	SRR5665058_mtphln2	SRR5665057_mtphln2	SRR5665056_mtphln2	SRR5665055_mtphln2	SRR5665054_mtphln2	SRR5665053_mtphln2	SRR5665052_mtphln2	SRR5665051_mtphln2	SRR5665050_mtphln2	SRR5665049_mtphln2	SRR5665048_mtphln2	SRR5665047_mtphln2	SRR5665046_mtphln2	SRR5665045_mtphln2	SRR5665044_mtphln2	SRR5665043_mtphln2	SRR5665042_mtphln2	SRR5665041_mtphln2	SRR5665035_mtphln2	SRR5665034_mtphln2	SRR5665033_mtphln2	SRR5665032_mtphln2	SRR5665031_mtphln2	SRR5665030_mtphln2	SRR5665029_mtphln2	SRR5665028_mtphln2	SRR5665027_mtphln2	SRR5665026_mtphln2	SRR5665025_mtphln2	SRR5665024_mtphln2
Coprobacillus	2|1239|526524|526525|128827|100883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04922	0	0	0.00325	0	0	0	0	0.04162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dielma	2|1239|526524|526525|128827|1472649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07443	0	0	0	0	0	0	0	0	0	0	0.0361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erysipelatoclostridium	2|1239|526524|526525|128827|1505663	0.01992	0	0	0	0	0	0.00175	0.20963	0	2.09958	0.02359	0.06754	0.04213	0	0	0	0.022930000000000002	3.21647	0.020309999999999998	0	0	0	0	0	2.3461	0.41748	0	0	0	0	0.10061	0.13795	0.01813	0	0.02366	0	0.34326	0	5.82306	0	0.09717999999999999	0	0	0.12580999999999998	0	0	0.25794	0.5833699999999999	0.08425	0	0.01045	0	1.66408	0	0	0	0	0	0.0717	0	0	0.02623	0.24863000000000002	2.88363	3.02472	0.17443	0.032889999999999996	0	0.039830000000000004	0	0	0.02305	0.18095999999999998	0	0	0.03352	1.2703	0.5262899999999999	0	0	0	0	0	0	100.0
Faecalitalea	2|1239|526524|526525|128827|1573534	0	0	0	0	0	0	0.5787899999999999	0	0	0	0	0	0	0.44458000000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.45912	0	0	0	0.7864800000000001	0	0	0	0	0	0	0	0.09525	0.9990700000000001	0	0	0	0	0	0	0	0	0
Holdemanella	2|1239|526524|526525|128827|1573535	0.00936	0.10424000000000001	0	0	0.30373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03183	0	0	0	0	0	0	0	0	0	0	0	0	0	3.78131	0	0	0.47925	0	0	0	0	9.76446	0	0	0	0	0	0	0	0	0	0	0
Holdemania	2|1239|526524|526525|128827|61170	0	0	0	0	0	0	0	0	0.07611	0	0	0.17010999999999998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00659	0	0	0	0	0.19551	0	0	0	0	0	0	0.06984	0	0	0.01268	0	0	0
Massiliomicrobiota	2|1239|526524|526525|128827|1924110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solobacterium	2|1239|526524|526525|128827|123375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12354000000000001	0	0	0	0	0	0.23795999999999998	0	0.04068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Turicibacter	2|1239|526524|526525|128827|191303	0.07993	0	0.11821	0	0	0	0	0	0	0	0.35043	0	0	0	0	0.3658	0	0	0	0	0	0	0.34886	0	0	0	0	0	0	0	0	0.24658000000000002	0.12814	0	0	0	0	0	0	0	0	0	0	0	0.67974	0	0.9345	0	0	0	0	0	0	0	0	0.07406	0	0	0	0.02915	0	0	0.020130000000000002	0	0	0.43183999999999995	0.12824000000000002	0.13824	0	0	0	0	0	0	0	0	9.986930000000001	0	0	0	0.01495	0	0	0	0
Firmicutes_unclassified		2.13869	0	0.08505	0.67814	0	0	0.32859	0.04262	0.98714	0.18662	0.6227	2.10027	0	0.14876	0	0	0.24511999999999998	0	0.94905	0	1.3751799999999998	0	0	1.44602	0	0.35417	0	0	0	2.98508	1.0407600000000001	1.8476400000000002	0.013609999999999999	0	1.4871299999999998	0	0.05479	0	0	0	0.54047	0	0	0	13.774629999999998	0.08388999999999999	0	0	2.07573	1.6367399999999999	0	0.23588	2.18663	0	0	0.1549	0.14574	0	11.1748	0.46298999999999996	0	0.08406	8.92394	0.60958	0	0	0.0036799999999999997	0	0.13385	0.16512000000000002	6.34784	4.80828	1.20589	0	0	0.80132	0	4.72602	0.20381	0.27631	0	0.10812000000000001	2.019	0.72639	0
